"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 13:14:43 GMT 2022","Wed Nov 09 13:14:44 GMT 2022","545","","GetUrlSpec","","GetUrlSpec","get url","get url",""
"passed","Wed Nov 09 13:14:24 GMT 2022","Wed Nov 09 13:14:25 GMT 2022","410","","GetAttributeSpec of BrowserUtils Tests","","GetAttributeSpec of BrowserUtils Tests","should return null on not existing attribute","should return null on not existing attribute",""
"passed","Wed Nov 09 13:13:59 GMT 2022","Wed Nov 09 13:14:02 GMT 2022","3463","","doubleClick","","doubleClick","successful double click","successful double click",""
"passed","Wed Nov 09 13:15:28 GMT 2022","Wed Nov 09 13:15:28 GMT 2022","127","","setWindowSize","","setWindowSize","change window size","change window size",""
"passed","Wed Nov 09 13:15:19 GMT 2022","Wed Nov 09 13:15:20 GMT 2022","1246","","switchToIframe","","switchToIframe","Switch to iframe, header text at iFrame 2","Switch to iframe, header text at iFrame 2",""
"passed","Wed Nov 09 13:15:08 GMT 2022","Wed Nov 09 13:15:08 GMT 2022","456","","ScrollTo","","ScrollTo","scroll to x value","scroll to x value",""
"passed","Wed Nov 09 13:14:30 GMT 2022","Wed Nov 09 13:14:33 GMT 2022","3347","","getCssProperty","","getCssProperty","incorrect selector of an element","incorrect selector of an element",""
"passed","Wed Nov 09 13:14:01 GMT 2022","Wed Nov 09 13:14:02 GMT 2022","1034","","acceptAlert","","acceptAlert","no alert","no alert",""
"passed","Wed Nov 09 13:15:02 GMT 2022","Wed Nov 09 13:15:03 GMT 2022","448","","waitForDisplayed - reverse: true","","waitForDisplayed - reverse: true","notDisplayed but exist element ","notDisplayed but exist element ",""
"passed","Wed Nov 09 13:14:22 GMT 2022","Wed Nov 09 13:14:25 GMT 2022","3300","","waitForText","","waitForText","hidden text","hidden text",""
"passed","Wed Nov 09 13:14:18 GMT 2022","Wed Nov 09 13:14:19 GMT 2022","631","","execute","","execute","failing execution","failing execution",""
"passed","Wed Nov 09 13:14:19 GMT 2022","Wed Nov 09 13:14:23 GMT 2022","3440","","waitForNumberOfElements","","waitForNumberOfElements","Expect number of elements not equals","Expect number of elements not equals",""
"passed","Wed Nov 09 13:14:47 GMT 2022","Wed Nov 09 13:14:48 GMT 2022","578","","IsDisplayed","","IsDisplayed","not exist element","not exist element",""
"passed","Wed Nov 09 13:15:08 GMT 2022","Wed Nov 09 13:15:10 GMT 2022","1465","","SendKeysSpec","","SendKeysSpec","send string","send string",""
"passed","Wed Nov 09 13:14:03 GMT 2022","Wed Nov 09 13:14:06 GMT 2022","3689","","addValue","","addValue","add value to disabled input","add value to disabled input",""
"passed","Wed Nov 09 13:15:25 GMT 2022","Wed Nov 09 13:15:25 GMT 2022","219","","verifyFilesInZip","","verifyFilesInZip","correct list with incorrect size","correct list with incorrect size",""
"passed","Wed Nov 09 13:15:16 GMT 2022","Wed Nov 09 13:15:17 GMT 2022","1237","","SetValue","","SetValue","setValue","setValue",""
"passed","Wed Nov 09 13:14:19 GMT 2022","Wed Nov 09 13:14:19 GMT 2022","717","","expectNoAttributeValue","","expectNoAttributeValue","Contains word substring","Contains word substring",""
"passed","Wed Nov 09 13:15:23 GMT 2022","Wed Nov 09 13:15:23 GMT 2022","39","","TestUtilsSpec: isTimePassed","","TestUtilsSpec: isTimePassed","expect to return true","expect to return true",""
"passed","Wed Nov 09 13:14:29 GMT 2022","Wed Nov 09 13:14:30 GMT 2022","541","","getCssProperty","","getCssProperty","retrieve css property","retrieve css property",""
"passed","Wed Nov 09 13:14:49 GMT 2022","Wed Nov 09 13:14:50 GMT 2022","393","","isEnabled","","isEnabled","check disabled element","check disabled element",""
"passed","Wed Nov 09 13:14:18 GMT 2022","Wed Nov 09 13:14:19 GMT 2022","1006","","waitForAttributeValue","","waitForAttributeValue","correct value","correct value",""
"passed","Wed Nov 09 13:14:26 GMT 2022","Wed Nov 09 13:14:27 GMT 2022","272","","GetCookieSpec","","GetCookieSpec","get cookie by value","get cookie by value",""
"passed","Wed Nov 09 13:14:04 GMT 2022","Wed Nov 09 13:14:07 GMT 2022","3402","","dragAndDrop","","dragAndDrop","drag and drop to non existing element","drag and drop to non existing element",""
"passed","Wed Nov 09 13:14:45 GMT 2022","Wed Nov 09 13:14:49 GMT 2022","3434","","moveToSpec","","moveToSpec","hoverFalse","hoverFalse",""
"passed","Wed Nov 09 13:14:46 GMT 2022","Wed Nov 09 13:14:46 GMT 2022","329","","getValue","","getValue","get value of text area","get value of text area",""
"passed","Wed Nov 09 13:14:26 GMT 2022","Wed Nov 09 13:14:26 GMT 2022","372","","GetCookieSpec","","GetCookieSpec","expect unique cookie","expect unique cookie",""
"passed","Wed Nov 09 13:14:40 GMT 2022","Wed Nov 09 13:14:41 GMT 2022","632","","GetText of BrowserUtils Tests","","GetText of BrowserUtils Tests","Validate multiple result select first one ","Validate multiple result select first one ",""
"passed","Wed Nov 09 13:15:28 GMT 2022","Wed Nov 09 13:15:28 GMT 2022","275","","WaitUntilSpec of BrowserUtils Tests","","WaitUntilSpec of BrowserUtils Tests","Validate text found within given timeout ","Validate text found within given timeout ",""
"passed","Wed Nov 09 13:14:48 GMT 2022","Wed Nov 09 13:14:49 GMT 2022","673","","waitForExist","","waitForExist","existing element","existing element",""
"passed","Wed Nov 09 13:13:58 GMT 2022","Wed Nov 09 13:14:00 GMT 2022","1954","","DeleteCookieSpec","","DeleteCookieSpec","expect empty cookie","expect empty cookie",""
"passed","Wed Nov 09 13:14:27 GMT 2022","Wed Nov 09 13:14:31 GMT 2022","3668","","expectNoAttributeValue","","expectNoAttributeValue","Attribute not exists","Attribute not exists",""
"passed","Wed Nov 09 13:14:02 GMT 2022","Wed Nov 09 13:14:03 GMT 2022","625","","dragAndDrop","","dragAndDrop","drag and drop to undefined element","drag and drop to undefined element",""
"passed","Wed Nov 09 13:14:26 GMT 2022","Wed Nov 09 13:14:26 GMT 2022","341","","GetCookieSpec","","GetCookieSpec","get cookie by name","get cookie by name",""
