"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","click","","0","0","2","0","0"
"","waitForEnabled","","0","0","3","0","0"
"","waitForAttributeValue","","0","0","4","0","0"
"","IsDisplayed","","0","0","3","0","0"
"","NormalizeUrl","","0","0","6","0","0"
"","SendKeysSpec","","0","0","6","0","0"
"","waitForExist reverse:true","","0","0","2","0","0"
"","acceptAlert","","0","0","2","0","0"
"","RightClickSpec","","0","0","1","0","0"
"","WaitUntilSpec of BrowserUtils Tests","","0","0","4","0","0"
"","verifyFilesInZip","","0","0","4","0","0"
"","waitForDisplayed - reverse: true","","0","0","4","0","0"
"","moveToSpec","","0","0","2","0","0"
"","addValue","","0","0","4","0","0"
"","clearValue","","0","0","3","0","0"
"","waitForUrl","","0","0","3","0","0"
"","isSelected","","0","0","2","0","0"
"","GetCookieSpec","","0","0","3","0","0"
"","setWindowSize","","0","0","1","0","0"
"","getLocation","","0","0","1","0","0"
"","expectNoAttributeValue","","0","0","5","0","0"
"","startNetworkAudit","","0","0","1","0","0"
"","execute","","0","0","3","0","0"
"","RefreshSpec","","0","0","1","0","0"
"","doubleClick","","0","0","4","0","0"
"","getCssProperty","","0","0","4","0","0"
"","tab actions","","0","0","3","0","0"
"","waitForText","","0","0","5","0","0"
"","dragAndDrop","","0","0","5","0","0"
"","switchToIframe","","0","0","4","0","0"
"","selectByValue","","0","0","3","0","0"
"","isEnabled","","0","0","3","0","0"
"","getNumberOfElements","","0","0","3","0","0"
"","TestUtilsSpec: isTimePassed","","0","0","2","0","0"
"","SwitchToParentIframe","","0","0","2","0","0"
"","SetValue","","0","0","1","0","0"
"","dismissAlert","","0","0","2","0","0"
"","ScrollTo","","0","0","2","0","0"
"","waitForNumberOfElements","","0","0","5","0","0"
"","scrollTo","","0","0","3","0","0"
"","url","","0","0","1","0","0"
"","waitForExist","","0","0","2","0","0"
"","GetText of BrowserUtils Tests","","0","0","3","0","0"
"","BackSpec","","0","0","1","0","0"
"","findElement of BrowserUtils Tests","","0","0","3","0","0"
"","GetAttributeSpec of BrowserUtils Tests","","0","0","2","0","0"
"","TestUtilsSpec: randomStringTest","","0","0","4","0","0"
"","getValue","","0","0","2","0","0"
"","ScrollingIntoViewSpec","","0","0","2","0","0"
"","waitForClickable","","0","0","4","0","0"
"","DeleteCookieSpec","","0","0","1","0","0"
"","getSizeSpec","","0","0","1","0","0"
"","CloseNewTabSpec","","0","0","1","0","0"
"","setCookies","","0","0","3","0","0"
"","isDisplayedInViewport","","0","0","2","0","0"
"","TestUtilsSpec: extractNumbersFromString","","0","0","1","0","0"
"","GetTestDataFileSpec","","0","0","0","2","0"
"","waitForAlertText","","0","0","3","0","0"
"","waitForDisplayed","","0","0","3","0","0"
"","GetUrlSpec","","0","0","1","0","0"
